snr_db,association_method,predictor,history_position_rmse_m,history_velocity_rmse_mps,ade_m,fde_m,valid_target_trajectories
5,clean_history,target_interaction_gnn,0.0,0.0,0.5161921166481882,1.1099442585860149,909
5,clean_history,graph_motion_token_gpt2,0.0,0.0,0.497758230412885,1.060140410403345,909
5,oracle_association,target_interaction_gnn,0.6147018619620642,0.5626288088980471,0.8459618630320064,1.5193370823288384,909
5,oracle_association,graph_motion_token_gpt2,0.6147018619620642,0.5626288088980471,0.8127818494740099,1.4291572864561848,909
5,gated_hungarian_ekf,target_interaction_gnn,0.9206550401497336,0.8542819000291468,0.9974157620840209,1.68617136066634,909
5,gated_hungarian_ekf,graph_motion_token_gpt2,0.9206550401497336,0.8542819000291468,0.9582383763278671,1.5898946462029016,909
5,edge_mlp,target_interaction_gnn,0.6851885397846751,0.6774472635170004,0.9143498553956958,1.6142712415772826,909
5,edge_mlp,graph_motion_token_gpt2,0.6851885397846751,0.6774472635170004,0.8807386475952282,1.5220375354796223,909
5,association_gnn,target_interaction_gnn,0.6163565381468235,0.5647811348589473,0.8449936399889989,1.5189327160255088,909
5,association_gnn,graph_motion_token_gpt2,0.6163565381468235,0.5647811348589473,0.8128775987950357,1.4302201307777263,909
10,clean_history,target_interaction_gnn,0.0,0.0,0.5161921166481882,1.1099442585860149,909
10,clean_history,graph_motion_token_gpt2,0.0,0.0,0.497758230412885,1.060140410403345,909
10,oracle_association,target_interaction_gnn,0.5065811714316928,0.4372235652780476,0.7341789220425949,1.3905335144110114,909
10,oracle_association,graph_motion_token_gpt2,0.5065811714316928,0.4372235652780476,0.6942520326251375,1.294179549180504,909
10,gated_hungarian_ekf,target_interaction_gnn,1.042928072883754,0.9026633961135061,0.977023184496184,1.6878450265680864,909
10,gated_hungarian_ekf,graph_motion_token_gpt2,1.042928072883754,0.9026633961135061,0.9372267585645283,1.5924358304971122,909
10,edge_mlp,target_interaction_gnn,0.5074714439242024,0.4455435747285746,0.7416067461238312,1.401818639505552,909
10,edge_mlp,graph_motion_token_gpt2,0.5074714439242024,0.4455435747285746,0.7020574689304868,1.3057944420540686,909
10,association_gnn,target_interaction_gnn,0.5097391547267325,0.450302691064003,0.7354705575538023,1.3918171159767343,909
10,association_gnn,graph_motion_token_gpt2,0.5097391547267325,0.450302691064003,0.6953344028250481,1.2946166824324035,909
15,clean_history,target_interaction_gnn,0.0,0.0,0.5161921166481882,1.1099442585860149,909
15,clean_history,graph_motion_token_gpt2,0.0,0.0,0.497758230412885,1.060140410403345,909
15,oracle_association,target_interaction_gnn,0.490271853426553,0.4230579492434532,0.7174293711109392,1.364223148694264,909
15,oracle_association,graph_motion_token_gpt2,0.490271853426553,0.4230579492434532,0.6846440918505913,1.278866489859435,909
15,gated_hungarian_ekf,target_interaction_gnn,0.9258900778321354,0.8419811259546344,0.9283045199051155,1.6151135133044554,909
15,gated_hungarian_ekf,graph_motion_token_gpt2,0.9258900778321354,0.8419811259546344,0.8910577654445132,1.5241349391286785,909
15,edge_mlp,target_interaction_gnn,0.502101157024472,0.46594925861469316,0.7358232588395558,1.3910381791352964,909
15,edge_mlp,graph_motion_token_gpt2,0.502101157024472,0.46594925861469316,0.7032840808494912,1.3060303909419262,909
15,association_gnn,target_interaction_gnn,0.49085865752125896,0.4247276943084865,0.718756983120187,1.366972735481556,909
15,association_gnn,graph_motion_token_gpt2,0.49085865752125896,0.4247276943084865,0.6858242794494294,1.2812528872516158,909
20,clean_history,target_interaction_gnn,0.0,0.0,0.5161921166481882,1.1099442585860149,909
20,clean_history,graph_motion_token_gpt2,0.0,0.0,0.497758230412885,1.060140410403345,909
20,oracle_association,target_interaction_gnn,0.40566804214259616,0.33369956466252876,0.6541190337295448,1.2907700575355388,909
20,oracle_association,graph_motion_token_gpt2,0.40566804214259616,0.33369956466252876,0.6212205204895489,1.2089926506688755,909
20,gated_hungarian_ekf,target_interaction_gnn,0.9194099459176877,0.835668011538554,0.8653738359675811,1.5351321783789706,909
20,gated_hungarian_ekf,graph_motion_token_gpt2,0.9194099459176877,0.835668011538554,0.8320745050579277,1.4593234759877356,909
20,edge_mlp,target_interaction_gnn,0.40570078029339857,0.3350018931337665,0.654402843848838,1.2908699530841756,909
20,edge_mlp,graph_motion_token_gpt2,0.40570078029339857,0.3350018931337665,0.6216988239351279,1.2092200217336186,909
20,association_gnn,target_interaction_gnn,0.4056686049036021,0.33454469445284546,0.6542873940714384,1.2908300351519526,909
20,association_gnn,graph_motion_token_gpt2,0.4056686049036021,0.33454469445284546,0.6213545963971397,1.2088607603436126,909
